case_key,pipeline,xai,instance,RA,SA,VA,primary,secondary,gt_rank0_feature,gt_rank0_sign,gt_rank0_contrib,ext_rank0_feature,ext_rank0_sign,note
05_xgb_inst1041,Vision,XGB,1041,0.0,0.0,0.5,E3,"E1,E2",hr,1,0.747,weekday,-1,Extractor creates Tuesday-11h context; actual instance is Friday-8h (hr=8 is rank-0 by SHAP). Explanation correctly states hr=8h as strongest driver.
05_ebm_inst1481,Vision,EBM,1481,0.0,0.0,0.67,E3,,hr,1,0.819,hr_weekday,1,"Extractor hallucinates a Friday-23h scenario (hr=23, yr=1=2012). Actual instance: Tuesday-16h, yr=0=2011. Explanation is correct."
06_xgb_inst1041,Tool-Use,XGB,1041,0.0,0.0,0.5,E3,"E1,E2",hr,1,0.747,weekday,-1,Same extractor hallucination as 05_xgb_inst1041. Tool-Use explanation correctly identifies hr as top driver.
04_xgb_inst1041,JSON→Text,XGB,1041,0.0,0.33,0.67,E3,"E1,E2",hr,1,0.747,weekday,-1,Same extractor hallucination (Tuesday value=2 invented). JSON-Text explanation correctly starts with hr=8h Morgenspitze.
04_xgb_inst1481,JSON→Text,XGB,1481,0.5,0.0,0.5,E2,,hr,1,0.378,hr,-1,"hr correctly at rank 0, but extractor inverts sign (+→-). All three pipeline explanations correctly describe hr=16h as upward driver."
05_xgb_inst224,Vision,XGB,224,0.0,0.5,0.5,E1,E2,temp,-1,0.549,hr,1,"Explanation correctly says temp(~8°C) is the dominant downward driver. Extractor assigns hr(+) as rank 0, inverting both feature and sign."
05_ebm_inst580,Vision,EBM,580,0.0,0.67,0.33,E1,,yr,-1,0.226,hr,-1,"yr(-) is rank-0 by SHAP. Extractor assigns hr(-) as rank 0. Sign is correct for hr, but it should be yr at rank 0."
06_xgb_inst224,Tool-Use,XGB,224,0.0,0.67,1.0,E1,E2,temp,-1,0.549,hr,1,Same as 05_xgb_inst224. Tool-Use explanation correctly leads with temp as brake.
04_xgb_inst224,JSON→Text,XGB,224,0.5,0.5,0.5,E1,E2,temp,-1,0.549,hr,1,Same extractor error: hr(+) extracted at rank 0 instead of temp(-). Explanation correctly names temp as strongest brake.
04_ebm_inst580,JSON→Text,EBM,580,0.25,0.75,0.67,E1,,yr,-1,0.226,hr,-1,Same as 05_ebm_inst580. Extractor puts hr at rank 0 instead of yr.
04_ebm_inst1041,JSON→Text,EBM,1041,0.25,0.75,0.67,C,B2,hr,1,1.109,hr,1,"hr rank-0 correct. yr has contribution=-0.226 (negative: instance yr=0=2011), but explanation frames yr as ""2012 wächst"" with positive sign. Causes SA miss for yr. temp/yr ranks also swapped (B2)."
04_ebm_inst2058,JSON→Text,EBM,2058,0.25,0.75,0.75,B2,E2,hr,1,0.555,hr,1,"hr rank-0 correct. temp(0.230) and yr(0.226) differ by <2% — extractor swaps them (yr→rank1, temp→rank3). mnth sign also inverted by extractor (GT=+0.112, EXT=sign-1)."
05_xgb_inst1481,Vision,XGB,1481,1.0,0.0,0.33,E2,,hr,1,0.378,hr,-1,"Rank fully correct (RA=1). Extractor inverts ALL signs: hr(+→-), yr(-→+), all other features similarly flipped. Explanation correctly identifies hr=16h as upward driver."
05_xgb_inst1677,Vision,XGB,1677,0.0,1.0,0.67,B1,E1,hr,1,0.253,yr,-1,"hr(+0.253) and yr(-0.235) are nearly equal in absolute value. Explanation groups: ""hr & temp are positive drivers, yr is the biggest brake"". Extractor interprets ""biggest brake"" as rank-0, but SHAP rank-0 is hr by absolute value. All signs correct (SA=1)."
